Code 1,Code 2,Product Name,Brand,Original Price,After CK 1,After CK 2,Ngân Sách
69580390,69580390,HAZELINE Sữa Tắm S.Mụn R.Ngời Matcha Lựu Đỏ(Xanh)670g/8Chai,HAZELINE,71.700,60.945,,
69580392,69580392,HAZELINE Sữa Tắm Yến Mạch Dâu Tằm (Hồng) 670g/8 Chai,HAZELINE,71.700,60.945,,
68875653,68875653,HAZELINE Sữa Tắm Sữa Ong Chúa Hoa Ly (Tím) 670g/8 chai,HAZELINE,71.700,60.945,,
64301480,64301480,HAZELINE SDT Matcha&Lựu Đỏ230ml(1+3KD S.DaB.Ngày6.5g)/24Bộ,HAZELINE,63.700,56.056,56.056,
64301478,64301478,HAZELINE SDT YếnMạch&DâuTằm230ml(1+3KD SDaBNgày6.5g)/24Bộ,HAZELINE,63.700,56.056,56.056,
68910534,68910534,Hazeline sữa dưỡng thể matcha & lựu đỏ 230ml/24 chai,Hazeline,63.700,56.056,56.056,
68910536,68910536,Hazeline sữa dưỡng thể yến mạch & dâu tằm 230ml/24 chai,Hazeline,63.700,56.056,56.056,
68875668,68875668,Hazeline gel rửa mặt matcha tràm trà 100g/24 tuýp,Hazeline,46.500,40.920,,16.880.205
62689624,62689624,HAZELINE SRM MatchaTràmTrà 100g(1 + 1 srm Matcha 40g)/24 Bộ,HAZELINE,46.500,40.920,,
62689626,62689626,HAZELINE SRM Nghệ Hoa Cúc 100g (1 + 1 srm Matcha 40g)/24 Bộ,HAZELINE,46.500,40.920,,
68875672,68875672,Hazeline sữa rửa mặt nghệ hoa cúc 100g/24 tuýp,Hazeline,46.500,40.920,,
68875676,68875676,Hazeline sữa rửa mặt yến mạch & dâu tằm 100g/24 tuýp,Hazeline,46.500,40.920,,
68910532,68910532,Hazeline sữa dưỡng thể matcha & lựu đỏ 140ml/24 chai,Hazeline,42.100,37.048,37.048,
68875670,68875670,Hazeline gel rửa mặt matcha tràm trà 50g/24 tuýp,Hazeline,24.500,21.560,,
68875674,68875674,Hazeline sữa rửa mặt nghệ hoa cúc 50g/24 tuýp,Hazeline,24.500,21.560,,
68875679,68875679,Hazeline sữa rửa mặt yến mạch & dâu tằm 50g/24 tuýp,Hazeline,24.500,21.560,,
69793329,69793329,HAZELINE Sữa Tắm yến mạch dâu tằm 6gx12/84Dây,HAZELINE,4.500,3.600,,
69793343,69793343,HAZELINE Sữa Tắm Sữa Ong Chúa Hoa Ly 6gx12/84Dây,HAZELINE,4.500,3.600,,
68572376,68572376,Kem dưỡng trắng cao cấp ban đêm PONDS 50g/12 hộp,Kem,253.300,222.904,222.904,
68572372,68572372,Kem dưỡng trắng cao cấp ban ngày PONDS 50g/12 hộp,Kem,253.300,222.904,222.904,
68572374,68572374,Kem dưỡng trắng tạo nền PONDS 25g/12 tuýp,Kem,124.900,109.912,,
68706405,68706405,KNORR Hạt Nêm Từ Thịt 1.8kg/5 gói,KNORR,114.300,94.869,94.869,
69624324,69624324,KNORR Nước Mắm Ngon Nguyên Bản 500ml/12 chai,KNORR,94.500,78.435,78.435,
69724697,69724697,KNORR Nước Mắm Ngon Nguyên Bản 500ml(1+1KNORR Thịt 150g)/6bộ,KNORR,94.500,78.435,78.435,
69968618,69968618,KNORR Hạt Nêm Nấm Hương Organic 800g/8 gói,KNORR,76.500,63.495,63.495,
68706401,68706401,KNORR Hạt Nêm Từ Thịt 900g/8 gói,KNORR,76.500,63.495,63.495,
64335146,64335146,KNORR Hạt Nêm Từ Thịt 900g (1+1KNORR Từ Thịt 136g)/6 bộ,KNORR,76.500,63.495,63.495,
62735362,62735362,KNORR Hạt Nêm Từ Thịt 900g DT Tết 2024/8 gói,KNORR,76.500,51.255,,
69624320,69624320,KNORR Nước Mắm Ngon Tròn Vị 750ml/12 chai,KNORR,48.600,40.338,40.338,
64405032,64405032,KNORR Nước Mắm Ngon Tròn Vị 750ml(1+1Dầu Ăn 400ml)/9 bộ,KNORR,48.600,40.338,40.338,
69968606,69968606,KNORR Hạt Nêm Nấm Hương Organic 380g/16 gói,KNORR,39.567,32.841,32.841,
69642431,69642431,KNORR Hạt Nêm Nấm Hương 380g (1+1Knorr Tương ớt 200g)/16 bộ,KNORR,39.567,32.841,32.841,
68806800,68806800,KNORR GVHC Cá Kho 28gx6/10 dây,KNORR,36.750,31.238,31.238,
68806802,68806802,KNORR GVHC Canh Chua 30gx6/10 dây,KNORR,36.750,31.238,31.238,
68806803,68806803,KNORR GVHC Thịt Kho 28gx6/10 dây,KNORR,36.750,31.238,31.238,
68806804,68806804,KNORR GVHC Thịt Kho Tàu 28gx6/10 dây,KNORR,36.750,31.238,31.238,
69571561,69571561,KNORR Hạt nêm Từ Thịt 400g (1+1Knorr Từ Thịt 150g)/12 bộ,KNORR,34.200,30.780,,90.940.146
